rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2470,1,2003-08-11,0,24,2550
2,Lleyton Hewitt,Australia,AUS,2271,1,2001-10-15,0,8,2295
3,Andy Roddick,United States,USA,2231,1,2003-09-08,1,27,2274
4,Rafael Nadal,Spain,ESP,2225,1,2008-06-16,-1,-18,2552
5,Andre Agassi,United States,USA,2177,1,1995-03-24,0,0,2376
6,Guillermo Coria,Argentina,ARG,2147,2,2004-06-07,1,5,2229
7,Marat Safin,Russian Federation,RUS,2146,2,2000-09-18,-1,-11,2218
8,David Nalbandian,Argentina,ARG,2095,3,2006-05-22,0,9,2196
9,Guillermo Canas,Argentina,ARG,2078,8,2002-08-05,0,0,2113
10,Carlos Moya,Spain,ESP,2077,3,2002-12-06,0,0,2190
11,Gaston Gaudio,Argentina,ARG,2075,8,2005-07-11,1,0,2137
12,Juan Carlos Ferrero,Spain,ESP,2074,3,2003-06-09,3,14,2225
13,Fernando Gonzalez,Chile,CHI,2068,3,2006-10-23,4,25,2209
14,Nikolay Davydenko,Russian Federation,RUS,2062,5,2008-04-21,-3,-15,2291
15,Tim Henman,United Kingdom,GBR,2061,4,2002-04-12,-2,-11,2165
16,Thomas Johansson,Sweden,SWE,2058,7,2002-02-15,8,43,2136
17,Ivan Ljubicic,Croatia,CRO,2052,3,2006-03-31,-3,-16,2206
18,Sebastien Grosjean,France,FRA,2052,4,2003-01-27,1,21,2133
19,Tommy Haas,Germany,GER,2037,2,2002-01-28,-3,-21,2189
20,Taylor Dent,United States,USA,2032,16,2003-10-27,3,13,2040
21,Nicolas Kiefer,Germany,GER,2031,5,2000-02-14,1,7,2135
22,Tommy Robredo,Spain,ESP,2019,10,2006-05-22,-4,-16,2107
23,Radek Stepanek,Czech Republic,CZE,2016,10,2009-11-29,-3,-14,2136
24,Richard Gasquet,France,FRA,2011,9,2007-10-08,2,9,2196
25,Mario Ancic,Croatia,CRO,2010,6,2006-09-11,0,2,2133
26,David Ferrer,Spain,ESP,2009,4,2007-11-19,-5,-20,2348
27,Max Mirnyi,Belarus,BLR,1993,20,2001-10-22,6,25,2041
28,Mikhail Youzhny,Russian Federation,RUS,1990,9,2007-06-11,2,12,2122
29,Feliciano Lopez,Spain,ESP,1987,16,2014-10-12,16,46,2074
30,Gustavo Kuerten,Brazil,BRA,1982,1,2001-06-11,-1,0,2281
31,Dominik Hrbaty,Slovakia,SVK,1979,15,2005-12-09,-3,-9,2085
32,Mariano Puerta,Argentina,ARG,1977,21,2000-07-28,-5,-21,2042
33,Jiri Novak,Czech Republic,CZE,1974,6,2002-10-21,-2,5,2112
34,Jurgen Melzer,Austria,AUT,1971,12,2011-01-31,3,15,2110
35,Olivier Rochus,Belgium,BEL,1963,18,2006-05-08,-3,-5,2035
36,Joachim Johansson,Sweden,SWE,1960,10,2005-02-14,4,11,2074
37,Greg Rusedski,United Kingdom,GBR,1960,3,1998-11-30,-2,-2,2178
38,Nicolas Massu,Chile,CHI,1954,13,2003-10-20,-4,-12,2053
39,Jarkko Nieminen,Finland,FIN,1949,19,2006-03-17,-3,-9,2034
40,Fabrice Santoro,France,FRA,1949,17,2001-08-06,-2,-5,2052
41,Martin Verkerk,Netherlands,NED,1948,34,2004-10-04,-2,-2,1980
