rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2429,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2384,1,2008-06-16,0,0,2552
3,Roger Federer,Switzerland,SUI,2327,1,2003-08-11,0,0,2550
4,Dominic Thiem,Austria,AUT,2249,4,2020-02-03,0,0,2250
5,Juan Martin Del Potro,Argentina,ARG,2201,3,2010-06-07,0,-1,2331
6,Andy Murray,United Kingdom,GBR,2168,2,2009-04-19,1,0,2500
7,Daniil Medvedev,Russian Federation,RUS,2159,3,2021-09-13,-1,-14,2289
8,Stefanos Tsitsipas,Greece,GRE,2148,4,2021-06-13,0,4,2258
9,Alexander Zverev,Germany,GER,2142,4,2021-08-22,0,0,2261
10,Andrey Rublev,Russian Federation,RUS,2131,5,2020-11-02,1,36,2227
11,Stan Wawrinka,Switzerland,SUI,2104,5,2014-02-17,-1,0,2291
12,Milos Raonic,Canada,CAN,2088,5,2016-07-11,0,0,2269
13,Nick Kyrgios,Australia,AUS,2088,10,2017-04-14,0,0,2176
14,Roberto Bautista Agut,Spain,ESP,2082,9,2019-07-15,3,-1,2135
15,Kei Nishikori,Japan,JPN,2072,4,2016-09-12,0,-13,2296
16,Gael Monfils,France,FRA,2072,7,2010-11-28,-2,-15,2189
17,Kevin Anderson,South Africa,RSA,2070,6,2019-04-15,-1,-14,2181
18,David Goffin,Belgium,BEL,2061,8,2018-05-21,0,0,2165
19,Denis Shapovalov,Canada,CAN,2056,15,2021-07-12,0,0,2075
20,Diego Sebastian Schwartzman,Argentina,ARG,2052,11,2020-11-02,0,0,2097
21,Matteo Berrettini,Italy,ITA,2049,7,2021-07-12,0,0,2173
22,Alex De Minaur,Australia,AUS,2045,18,2021-01-12,0,0,2061
23,Pablo Carreno Busta,Spain,ESP,2041,10,2021-07-31,0,0,2121
24,Marin Cilic,Croatia,CRO,2037,6,2014-09-08,0,0,2232
25,Filip Krajinovic,Serbia,SRB,2033,25,2020-08-31,0,0,2033
26,Jo Wilfried Tsonga,France,FRA,2029,6,2009-03-02,0,-1,2244
27,Grigor Dimitrov,Bulgaria,BUL,2027,6,2018-01-29,0,0,2203
28,Tomas Berdych,Czech Republic,CZE,2012,5,2007-07-09,1,0,2263
29,Karen Khachanov,Russian Federation,RUS,2005,10,2019-02-08,1,-3,2137
30,Jan Lennard Struff,Germany,GER,2004,24,2020-09-14,-2,-9,2037
31,John Isner,United States,USA,1991,10,2012-04-13,0,0,2147
32,Casper Ruud,Norway,NOR,1986,10,2021-10-04,7,20,2101
33,Borna Coric,Croatia,CRO,1985,13,2019-01-07,0,0,2102
34,Vasek Pospisil,Canada,CAN,1980,30,2021-02-08,0,0,1987
35,Felix Auger Aliassime,Canada,CAN,1979,15,2021-09-13,-3,-7,2057
36,Lucas Pouille,France,FRA,1972,20,2016-09-26,-1,0,2069
37,Kyle Edmund,United Kingdom,GBR,1968,24,2018-08-06,-1,0,2038
38,Reilly Opelka,United States,USA,1966,28,2021-09-13,0,0,1987
39,Fabio Fognini,Italy,ITA,1966,14,2014-04-11,-2,-2,2112
40,Richard Gasquet,France,FRA,1966,9,2007-10-08,0,0,2196
41,Hyeon Chung,"Korea, Republic of",KOR,1962,21,2018-04-02,1,0,2049
42,Daniel Evans,United Kingdom,GBR,1958,25,2021-02-08,-1,-5,2002
43,Christian Garin,Chile,CHI,1953,26,2021-06-13,9,24,2010
44,Sam Querrey,United States,USA,1951,18,2013-04-21,1,0,2068
45,Miomir Kecmanovic,Serbia,SRB,1948,44,2020-09-14,1,0,1958
46,Jeremy Chardy,France,FRA,1947,23,2015-09-14,1,0,2016
47,Ugo Humbert,France,FRA,1946,25,2021-01-11,3,14,2002
48,Hubert Hurkacz,Poland,POL,1945,17,2021-09-27,0,0,2047
49,Taylor Harry Fritz,United States,USA,1944,29,2019-08-05,-6,-13,1999
50,Marton Fucsovics,Hungary,HUN,1940,21,2021-04-04,-1,0,2018
51,Yoshihito Nishioka,Japan,JPN,1939,33,2020-02-24,-7,-13,1977
52,Fernando Verdasco,Spain,ESP,1929,7,2009-05-04,-1,0,2204
53,Egor Gerasimov,Belarus,BLR,1928,46,2021-03-08,0,0,1932
54,John Millman,Australia,AUS,1928,38,2018-09-10,0,0,1954
55,David Ferrer,Spain,ESP,1926,4,2007-11-19,0,-1,2348
56,Frances Tiafoe,United States,USA,1923,35,2021-10-04,0,0,1972
57,Pierre Hugues Herbert,France,FRA,1920,32,2019-06-24,0,0,1989
58,Aljaz Bedene,Slovenia,SLO,1919,42,2018-05-21,0,0,1939
59,Feliciano Lopez,Spain,ESP,1912,16,2014-10-12,1,0,2074
60,Tennys Sandgren,United States,USA,1912,48,2020-08-31,-1,-6,1940
61,Dusan Lajovic,Serbia,SRB,1908,35,2019-04-22,8,21,1962
62,Jordan Thompson,Australia,AUS,1908,57,2021-07-26,1,0,1908
63,Benoit Paire,France,FRA,1901,25,2016-01-11,-1,-9,2003
64,Gilles Simon,France,FRA,1900,9,2009-01-11,-3,-11,2124
65,Guido Pella,Argentina,ARG,1898,29,2019-08-12,1,0,2009
66,Andreas Seppi,Italy,ITA,1897,21,2015-08-03,1,0,2030
67,Adrian Mannarino,France,FRA,1892,29,2018-01-15,-3,-11,2004
68,Alexander Bublik,Kazakhstan,KAZ,1890,41,2021-05-09,5,15,1946
69,Philipp Kohlschreiber,Germany,GER,1889,14,2016-05-02,-4,-9,2117
70,Nikoloz Basilashvili,Georgia,GEO,1888,30,2019-01-07,-2,-5,1990
71,Steve Johnson,United States,USA,1881,21,2017-04-17,0,0,2042
72,Nicolas Mahut,France,FRA,1880,35,2016-10-10,0,0,1970
73,Albert Ramos,Spain,ESP,1875,25,2017-05-01,-3,-11,2014
