rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,2428,1,2008-06-16,0,2,2552
2,Novak Djokovic,Serbia,SRB,2364,1,2011-03-21,0,0,2629
3,Roger Federer,Switzerland,SUI,2328,1,2003-08-11,0,0,2550
4,Juan Martin Del Potro,Argentina,ARG,2214,3,2010-06-07,0,0,2331
5,Dominic Thiem,Austria,AUT,2211,4,2020-02-03,0,0,2250
6,Daniil Medvedev,Russian Federation,RUS,2193,4,2019-10-14,0,0,2289
7,Andy Murray,United Kingdom,GBR,2186,2,2009-04-19,0,0,2500
8,Stefanos Tsitsipas,Greece,GRE,2175,5,2021-04-26,0,0,2220
9,Kevin Anderson,South Africa,RSA,2142,6,2019-04-15,0,0,2181
10,Alexander Zverev,Germany,GER,2124,5,2017-08-14,0,0,2231
11,Kei Nishikori,Japan,JPN,2116,4,2016-09-12,0,0,2296
12,Stan Wawrinka,Switzerland,SUI,2114,5,2014-02-17,0,0,2291
13,David Goffin,Belgium,BEL,2077,8,2018-05-21,0,0,2165
14,Matteo Berrettini,Italy,ITA,2075,10,2021-05-09,0,0,2102
15,Nick Kyrgios,Australia,AUS,2072,10,2017-04-14,0,0,2176
16,Andrey Rublev,Russian Federation,RUS,2071,5,2020-11-02,0,0,2227
17,Denis Shapovalov,Canada,CAN,2066,16,2019-11-26,0,-2,2075
18,Milos Raonic,Canada,CAN,2063,5,2016-07-11,0,0,2269
19,Jo Wilfried Tsonga,France,FRA,2063,6,2009-03-02,0,0,2244
20,Roberto Bautista Agut,Spain,ESP,2058,9,2019-07-15,0,8,2135
21,Alex De Minaur,Australia,AUS,2050,18,2021-01-12,0,0,2061
22,Marin Cilic,Croatia,CRO,2044,6,2014-09-08,0,0,2232
23,Grigor Dimitrov,Bulgaria,BUL,2040,6,2018-01-29,0,0,2203
24,Diego Sebastian Schwartzman,Argentina,ARG,2039,11,2020-11-02,0,0,2097
25,John Isner,United States,USA,2034,10,2012-04-13,0,0,2147
26,Karen Khachanov,Russian Federation,RUS,2027,10,2019-02-08,0,0,2137
27,Gael Monfils,France,FRA,2026,7,2010-11-28,0,0,2189
28,Fabio Fognini,Italy,ITA,2022,14,2014-04-11,0,0,2112
29,Tomas Berdych,Czech Republic,CZE,2017,5,2007-07-09,0,0,2263
30,Pablo Carreno Busta,Spain,ESP,2008,11,2021-04-26,0,0,2085
31,Sam Querrey,United States,USA,1996,18,2013-04-21,0,0,2068
32,Filip Krajinovic,Serbia,SRB,1987,25,2020-08-31,0,0,2033
33,Jan Lennard Struff,Germany,GER,1979,24,2020-09-14,0,0,2037
34,Lucas Pouille,France,FRA,1975,20,2016-09-26,0,0,2069
35,Richard Gasquet,France,FRA,1974,9,2007-10-08,0,0,2196
36,Borna Coric,Croatia,CRO,1972,13,2019-01-07,0,0,2102
37,Jeremy Chardy,France,FRA,1967,23,2015-09-14,0,0,2016
38,Guido Pella,Argentina,ARG,1966,29,2019-08-12,0,0,2009
39,Hyeon Chung,"Korea, Republic of",KOR,1965,21,2018-04-02,0,0,2049
40,Kyle Edmund,United Kingdom,GBR,1964,24,2018-08-06,0,0,2038
41,Nikoloz Basilashvili,Georgia,GEO,1959,30,2019-01-07,1,0,1990
42,Taylor Harry Fritz,United States,USA,1951,29,2019-08-05,1,0,1999
43,Felix Auger Aliassime,Canada,CAN,1950,30,2019-08-12,-2,-9,1995
44,Adrian Mannarino,France,FRA,1949,29,2018-01-15,0,0,2004
45,Albert Ramos,Spain,ESP,1949,25,2017-05-01,0,0,2014
46,Fernando Verdasco,Spain,ESP,1941,7,2009-05-04,0,0,2204
47,Philipp Kohlschreiber,Germany,GER,1939,14,2016-05-02,0,0,2117
48,Benoit Paire,France,FRA,1938,25,2016-01-11,1,0,2003
49,David Ferrer,Spain,ESP,1938,4,2007-11-19,-1,0,2348
50,Hubert Hurkacz,Poland,POL,1937,23,2021-04-04,0,0,2012
51,Yoshihito Nishioka,Japan,JPN,1935,33,2020-02-24,0,0,1977
52,Feliciano Lopez,Spain,ESP,1934,16,2014-10-12,0,0,2074
53,Aljaz Bedene,Slovenia,SLO,1927,42,2018-05-21,0,0,1939
54,Christian Garin,Chile,CHI,1918,31,2021-05-24,0,0,1978
55,Radu Albot,"Moldova, Republic of",MDA,1918,45,2019-04-01,0,0,1936
56,Reilly Opelka,United States,USA,1913,35,2020-08-31,0,0,1976
57,Frances Tiafoe,United States,USA,1909,36,2019-05-13,0,0,1962
58,Egor Gerasimov,Belarus,BLR,1908,46,2021-03-08,0,0,1932
59,Pierre Hugues Herbert,France,FRA,1907,32,2019-06-24,0,0,1989
60,Mikhail Kukushkin,Kazakhstan,KAZ,1900,41,2019-02-25,0,0,1943
61,John Millman,Australia,AUS,1898,38,2018-09-10,0,0,1954
62,Daniel Evans,United Kingdom,GBR,1898,25,2021-02-08,0,0,2002
63,Gilles Simon,France,FRA,1894,9,2009-01-11,0,0,2124
64,Nicolas Mahut,France,FRA,1887,35,2016-10-10,0,0,1970
65,Vasek Pospisil,Canada,CAN,1887,30,2021-02-08,0,0,1987
66,Marton Fucsovics,Hungary,HUN,1883,21,2021-04-04,0,0,2016
67,Jordan Thompson,Australia,AUS,1880,58,2019-07-01,0,0,1908
68,Joao Sousa,Portugal,POR,1879,32,2016-02-01,0,0,1974
